sale_id,date,city,store_format,category,item,quantity,unit_price,sales_amount
1,2026-04-01,Coimbatore,Flagship,Merchandise,Mug,1,350,355.03
2,2026-04-01,Coimbatore,Flagship,Bakery,Brownie,1,110,107.28
3,2026-04-01,Coimbatore,Flagship,Merchandise,Coffee Beans Pack,1,450,446.9
4,2026-04-01,Coimbatore,Flagship,Coffee,Cold Brew,3,180,555.86
5,2026-04-01,Coimbatore,Flagship,Bakery,Croissant,2,90,175.04
6,2026-04-01,Coimbatore,Flagship,Coffee,Filter Coffee,1,60,61.22
7,2026-04-01,Coimbatore,Flagship,Coffee,Cappuccino,1,140,141.21
8,2026-04-01,Coimbatore,Flagship,Coffee,Cappuccino,2,140,278.49
9,2026-04-01,Coimbatore,Flagship,Coffee,Filter Coffee,1,60,61.56
10,2026-04-01,Coimbatore,Flagship,Coffee,Cold Brew,2,180,359.31
11,2026-04-01,Coimbatore,Flagship,Bakery,Croissant,1,90,88.18
12,2026-04-01,Coimbatore,Kiosk,Coffee,Cappuccino,2,140,283.67
13,2026-04-01,Coimbatore,Kiosk,Bakery,Brownie,2,110,214.81
14,2026-04-01,Coimbatore,Kiosk,Bakery,Croissant,1,90,91.71
15,2026-04-01,Coimbatore,Kiosk,Bakery,Muffin,1,70,68.43
16,2026-04-01,Coimbatore,Kiosk,Bakery,Muffin,1,70,68.19
17,2026-04-01,Coimbatore,Kiosk,Coffee,Cold Brew,1,180,178.84
18,2026-04-01,Coimbatore,Drive-Thru,Coffee,Cappuccino,2,140,272.56
19,2026-04-01,Coimbatore,Drive-Thru,Coffee,Cold Brew,3,180,546.64
20,2026-04-01,Coimbatore,Drive-Thru,Bakery,Brownie,1,110,109.04
21,2026-04-01,Coimbatore,Drive-Thru,Bakery,Muffin,1,70,70.13
22,2026-04-01,Coimbatore,Drive-Thru,Merchandise,Tumbler,1,550,549.67
23,2026-04-01,Coimbatore,Drive-Thru,Bakery,Croissant,1,90,88.43
24,2026-04-01,Coimbatore,Drive-Thru,Merchandise,Tumbler,1,550,554.85
25,2026-04-01,Coimbatore,Drive-Thru,Coffee,Filter Coffee,1,60,60.34
26,2026-04-01,Coimbatore,Drive-Thru,Coffee,Espresso,1,120,121.22
27,2026-04-01,Coimbatore,Drive-Thru,Merchandise,Tumbler,1,550,562.33
28,2026-04-01,Coimbatore,Drive-Thru,Coffee,Filter Coffee,2,60,117.99
29,2026-04-01,Chennai,Flagship,Bakery,Brownie,3,110,324.16
30,2026-04-01,Chennai,Flagship,Coffee,Cold Brew,1,180,179.2
31,2026-04-01,Chennai,Flagship,Coffee,Espresso,3,120,367.03
32,2026-04-01,Chennai,Flagship,Coffee,Cappuccino,1,140,136.01
33,2026-04-01,Chennai,Flagship,Bakery,Brownie,1,110,111.92
34,2026-04-01,Chennai,Flagship,Bakery,Brownie,2,110,218.2
35,2026-04-01,Chennai,Flagship,Merchandise,Coffee Beans Pack,1,450,447.89
36,2026-04-01,Chennai,Flagship,Bakery,Brownie,1,110,109.64
37,2026-04-01,Chennai,Flagship,Coffee,Espresso,2,120,233.0
38,2026-04-01,Chennai,Flagship,Coffee,Cappuccino,1,140,136.94
39,2026-04-01,Chennai,Flagship,Bakery,Brownie,2,110,220.52
40,2026-04-01,Chennai,Flagship,Bakery,Brownie,2,110,220.56
41,2026-04-01,Chennai,Flagship,Coffee,Espresso,1,120,118.69
42,2026-04-01,Chennai,Flagship,Coffee,Filter Coffee,2,60,116.69
43,2026-04-01,Chennai,Flagship,Bakery,Brownie,1,110,108.24
44,2026-04-01,Chennai,Flagship,Coffee,Filter Coffee,1,60,60.76
45,2026-04-01,Chennai,Flagship,Coffee,Filter Coffee,1,60,60.64
46,2026-04-01,Chennai,Flagship,Coffee,Cappuccino,2,140,278.26
47,2026-04-01,Chennai,Flagship,Coffee,Espresso,2,120,233.84
48,2026-04-01,Chennai,Flagship,Coffee,Filter Coffee,1,60,61.73
49,2026-04-01,Chennai,Flagship,Bakery,Croissant,2,90,184.76
50,2026-04-01,Chennai,Flagship,Merchandise,Coffee Beans Pack,1,450,437.24
51,2026-04-01,Chennai,Flagship,Coffee,Cold Brew,2,180,359.52
52,2026-04-01,Chennai,Kiosk,Coffee,Cold Brew,4,180,721.27
53,2026-04-01,Chennai,Kiosk,Coffee,Filter Coffee,2,60,120.48
54,2026-04-01,Chennai,Kiosk,Bakery,Muffin,2,70,139.63
55,2026-04-01,Chennai,Kiosk,Coffee,Cold Brew,2,180,363.47
56,2026-04-01,Chennai,Kiosk,Merchandise,Mug,1,350,352.43
57,2026-04-01,Chennai,Kiosk,Coffee,Filter Coffee,1,60,60.08
58,2026-04-01,Chennai,Kiosk,Merchandise,Coffee Beans Pack,1,450,456.67
59,2026-04-01,Chennai,Kiosk,Bakery,Muffin,2,70,143.65
60,2026-04-01,Chennai,Kiosk,Bakery,Brownie,1,110,106.82
61,2026-04-01,Chennai,Kiosk,Bakery,Croissant,1,90,91.28
62,2026-04-01,Chennai,Kiosk,Coffee,Cappuccino,1,140,140.43
63,2026-04-01,Chennai,Drive-Thru,Coffee,Cold Brew,3,180,524.37
64,2026-04-01,Chennai,Drive-Thru,Bakery,Muffin,1,70,70.5
65,2026-04-01,Chennai,Drive-Thru,Coffee,Cold Brew,2,180,369.34
66,2026-04-01,Chennai,Drive-Thru,Coffee,Filter Coffee,2,60,121.51
67,2026-04-01,Chennai,Drive-Thru,Bakery,Croissant,1,90,92.47
68,2026-04-01,Chennai,Drive-Thru,Coffee,Cappuccino,1,140,135.98
69,2026-04-01,Chennai,Drive-Thru,Coffee,Cappuccino,1,140,142.73
70,2026-04-01,Chennai,Drive-Thru,Coffee,Cold Brew,1,180,179.13
71,2026-04-01,Chennai,Drive-Thru,Merchandise,Coffee Beans Pack,3,450,1371.51
72,2026-04-01,Chennai,Drive-Thru,Merchandise,Tumbler,1,550,554.64
73,2026-04-01,Chennai,Drive-Thru,Coffee,Espresso,1,120,120.09
74,2026-04-01,Chennai,Drive-Thru,Bakery,Muffin,3,70,212.37
75,2026-04-01,Bengaluru,Flagship,Coffee,Cold Brew,2,180,363.63
76,2026-04-01,Bengaluru,Flagship,Bakery,Muffin,2,70,137.77
77,2026-04-01,Bengaluru,Flagship,Bakery,Muffin,3,70,204.54
78,2026-04-01,Bengaluru,Flagship,Coffee,Filter Coffee,2,60,123.0
79,2026-04-01,Bengaluru,Flagship,Coffee,Cold Brew,3,180,546.94
80,2026-04-01,Bengaluru,Flagship,Coffee,Espresso,2,120,239.44
81,2026-04-01,Bengaluru,Flagship,Bakery,Muffin,2,70,138.96
82,2026-04-01,Bengaluru,Flagship,Bakery,Brownie,2,110,214.4
83,2026-04-01,Bengaluru,Flagship,Coffee,Espresso,1,120,119.69
84,2026-04-01,Bengaluru,Flagship,Coffee,Espresso,1,120,116.76
85,2026-04-01,Bengaluru,Flagship,Coffee,Cold Brew,1,180,181.25
